ISSN,Título,Estrato,quadrienio
1980-5470,REVISTA BRASILEIRA DE EDUCAÇÃO ESPECIAL,A1,2021-2024
1980-5497,REVISTA BRASILEIRA DE EPIDEMIOLOGIA,A2,2021-2024
1980-556X,MEDIAÇÃO (UEG. PIRES DO RIO),B2,2021-2024
1980-5764,DEMENTIA & NEUROPSYCHOLOGIA,B2,2021-2024
1980-5799,DOMÍNIOS DE LINGU@GEM,A2,2021-2024
1980-6108,SCIENTIA MEDICA (PORTO ALEGRE. ONLINE),B2,2021-2024
1980-6477,REVISTA BRASILEIRA DE MILHO E SORGO (ONLINE),B1,2021-2024
1980-6574,MOTRIZ : REVISTA DE EDUCAÇÃO FÍSICA (ONLINE),B1,2021-2024
1980-6604,JOURNAL OF COMMUNICATION AND INFORMATION SYSTEMS (ONLINE),A4,2021-2024
1980-6949,RBBD. REVISTA BRASILEIRA DE BIBLIOTECONOMIA E DOCUMENTAÇÃO (ONLINE),A2,2021-2024
1980-7031,RIC@. REVISTA INTERDISCIPLINAR CIENTÍFICA APLICADA,B2,2021-2024
1980-850X,CIÊNCIA & EDUCAÇÃO,A1,2021-2024
1980-8666,PLEIADE (UNIAMÉRICA),B3,2021-2024
1980-959X,ARQUIVOS DO MUDI,B1,2021-2024
1981-0431,LINHAS CRÍTICAS (ONLINE),A1,2021-2024
1981-1268,GAIA SCIENTIA (UFPB),B3,2021-2024
1981-1543,GESTÃO & TECNOLOGIA DE PROJETOS,A2,2021-2024
1981-1640,BRAZILIAN JOURNAL OF INFORMATION SCIENCE,A1,2021-2024
1981-1659,REVISTA BRASILEIRA DE SEGURANÇA PÚBLICA,A4,2021-2024
1981-1829,CIÊNCIA E AGROTECNOLOGIA (ONLINE),A2,2021-2024
1981-223X,FOCO (FACULDADE NOVO MILÊNIO),C,2021-2024
1981-3163,BIOSCIENCE JOURNAL (ONLINE),B2,2021-2024
1981-3708,ROBRAC (ONLINE) (GOIÂNIA),B3,2021-2024
1981-416X,REVISTA DIÁLOGO EDUCACIONAL,A1,2021-2024
1981-5271,REVISTA BRASILEIRA DE EDUCAÇÃO MÉDICA (ONLINE),A1,2021-2024
1981-5344,PERSPECTIVAS EM CIÊNCIA DA INFORMAÇÃO,A1,2021-2024
1981-5794,ALFA: REVISTA DE LINGUÍSTICA (SÃO JOSÉ DO RIO PRETO),A1,2021-2024
1981-6278,RECIIS-REVISTA ELETRÔNICA DE COM. INFORMAÇÃO & INOVAÇÃO EM SAÚDE,A1,2021-2024
1981-674X,REVISTA DA CGU,A4,2021-2024
1981-6979,EDUCAÇÃO MATEMÁTICA EM FOCO (UFPB),B1,2021-2024
1981-8920,INFORMAÇÃO & INFORMAÇÃO,A2,2021-2024
1981-982X,REVISTA DE GESTÃO SOCIAL E AMBIENTAL (RGSA),C,2021-2024
1982-0194,ACTA PAUL DE ENFERM,A2,2021-2024
1982-0216,REVISTA CEFAC (ONLINE),B1,2021-2024
1982-0305,REVISTA TEIAS (UERJ. ONLINE),A1,2021-2024
1982-0577,RIOS ELETRÔNICA (FASETE),A2,2021-2024
1982-1123,EDUCERE: REVISTA DA EDUCAÇÃO DA UNIPAR (ONLINE),A3,2021-2024
1982-1654,INFORMÁTICA NA EDUCAÇÃO,A4,2021-2024
1982-1662,INTER-LEGERE (UFRN),A4,2021-2024
1982-1816,CADERNOS UNIFOA (ONLINE),B3,2021-2024
1982-1956,ATELIÊ GEOGRÁFICO (UFG),A2,2021-2024
1982-2014,SIGNO (UNISC. ONLINE),A1,2021-2024
1982-2413,EXPERIÊNCIAS EM ENSINO DE CIÊNCIAS (UFRGS),A3,2021-2024
1982-2596,REVISTA PENSAMENTO CONTEMPORÂNEO EM ADMINISTRAÇÃO,A3,2021-2024
1982-3029,REVISTA EXPECTATIVA,B2,2021-2024
1982-3134,REVISTA DE ADMINISTRAÇÃO PÚBLICA,A2,2021-2024
1982-3649,E-LEX REVISTA,C,2021-2024
1982-3703,PSICOLOGIA: CIÊNCIA E PROFISSÃO (ONLINE),A2,2021-2024
1982-422X,ACTA TECNOLÓGICA,B4,2021-2024
1982-4785,REVISTA ELETRÔNICA GESTÃO E SAÚDE,B4,2021-2024
1982-5153,ALEXANDRIA (UFSC),A1,2021-2024
1982-5269,REVISTA DEBATES (UFRGS),A2,2021-2024
1982-5498,IGAPÓ (CEFET-AM),A4,2021-2024
1982-5587,REVISTA IBERO-AMERICANA DE ESTUDOS EM EDUCAÇÃO,A1,2021-2024
1982-5765,AVALIAÇÃO: REVISTA DA AVALIAÇÃO DA EDUCAÇÃO SUPERIOR,A1,2021-2024
1982-6125,REVISTA BRASILEIRA DE PESQUISA EM TURISMO,A2,2021-2024
1982-6907,SÃO PAULO JOURNAL OF MATHEMATICAL SCIENCES,B2,2021-2024
1982-7687,REVISTA EM EXTENSÃO (ONLINE),B2,2021-2024
1982-873X,REVISTA BRASILEIRA DE ENSINO DE CIÊNCIA E TECNOLOGIA,A2,2021-2024
1983-0823,REVISTA BRASILEIRA DE BIOMETRIA,B2,2021-2024
1983-0882,CADERNO PEDAGÓGICO (LAJEADO. ONLINE),C,2021-2024
1983-1358,CADERNOS DE PROSPECÇÃO,A4,2021-2024
1983-1838,E-TECH: TECNOLOGIAS PARA COMPETITIVIDADE INDUSTRIAL,B2,2021-2024
1983-196X,ESTUDOS EM DESIGN (ONLINE),A1,2021-2024
1983-2664,REVISTA EDUCAONLINE,B3,2021-2024
1983-3288,PSYCHOLOGY & NEUROSCIENCE (ONLINE),A1,2021-2024
1983-3482,CONTEXTOS CLÍNICOS,A4,2021-2024
1983-3652,TEXTO LIVRE,A1,2021-2024
1983-5116,TENDÊNCIAS DA PESQUISA BRASILEIRA EM CIÊNCIA DA INFORMAÇÃO,A4,2021-2024
1983-5442,TURISMO E SOCIEDADE,B2,2021-2024
1983-5604,REVISTA DE SISTEMAS DE INFORMAÇÃO DA FSMA,C,2021-2024
1983-5930,CULTURAS MIDIÁTICAS,B1,2021-2024
1983-716X,REVISTA ALCANCE (ONLINE),B1,2021-2024
1983-8026,PRODUTO E PRODUÇÃO,B4,2021-2024
1983-8611,ADVANCES IN SCIENTIFIC & APPLIED ACCOUNTING,A3,2021-2024
1983-9294,DIALOGIA,A3,2021-2024
1983-9308,EXACTA (ONLINE),B2,2021-2024
1983-9391,REVISTA BRASILEIRA DE ECOTURISMO,B1,2021-2024
1984-042X,INTERAÇÕES (CAMPO GRANDE),A3,2021-2024
1984-0446,REVISTA BRASILEIRA DE ENFERMAGEM,A2,2021-2024
1984-0462,REVISTA PAULISTA DE PEDIATRIA (ONLINE),B1,2021-2024
1984-2430,"GEPROS GESTÃO DA PRODUÇÃO, OPERAÇÕES E SISTEMAS",B3,2021-2024
1984-2902,ISYS: REVISTA BRASILEIRA DE SISTEMAS DE INFORMAÇÃO,A4,2021-2024
1984-3011,INTERNATIONAL JOURNAL OF NUTROLOGY,B3,2021-2024
1984-3143,ANIMAL REPRODUCTION,A2,2021-2024
1984-3240,REVISTA CIENTÍFICA ANAP BRASIL,B2,2021-2024
1984-3526,REVISTA TECNOLOGIA E SOCIEDADE (ONLINE),B1,2021-2024
1984-3534,PESQUISA OPERACIONAL PARA O DESENVOLVIMENTO,B4,2021-2024
1984-431X,INTERDISCIPLINAR: REVISTA ELETRÔNICA DA UNIVAR,B1,2021-2024
1984-4387,REVISTA INTERESSE PÚBLICO,B1,2021-2024
1984-4689,ZOOLOGIA (CURITIBA. ONLINE),B1,2021-2024
1984-4867,REVISTA TURISMO EM ANÁLISE,A4,2021-2024
1984-557X,REVISTA ELETRÔNICA DE POTÊNCIA,B1,2021-2024
1984-6290,REVISTA EDUCAÇÃO PÚBLICA (RIO DE JANEIRO),B1,2021-2024
1984-6444,EDUCAÇÃO (SANTA MARIA. ONLINE),A1,2021-2024
1984-6576,"REVELLI: REVISTA DE EDUCAÇÃO, LINGUAGEM E LITERATURA DA UEG-INHUMAS",B1,2021-2024
1984-686X,REVISTA EDUCAÇÃO ESPECIAL (ONLINE),A1,2021-2024
1984-7246,PERCURSOS (UDESC) ONLINE,A3,2021-2024
1984-8226,REVISTA FRONTEIRAS (ONLINE),A2,2021-2024
1984-8234,FILOSOFIA UNISINOS,A1,2021-2024
1984-8412,FÓRUM LINGUISTICO (ONLINE),A1,2021-2024
1984-8420,WORKING PAPERS EM LINGUÍSTICA,A4,2021-2024
1984-9001,REVISTA BRASILEIRA DE FÍSICA MÉDICA (ONLINE),B3,2021-2024
1984-932X,ESTUDOS EM AVALIAÇÃO EDUCACIONAL (ONLINE),A1,2021-2024
1984-9540,PERIFERIA (DUQUE DE CAXIAS),A2,2021-2024
1988-2041,RETOS,A2,2021-2024
1988-3064,INTELIGÊNCIA ARTIFICIAL,A4,2021-2024
1988-5245,DELOS: DESARROLLO LOCAL SOSTENIBLE,B2,2021-2024
1988-7833,CONTRIBUCIONES A LAS CIENCIAS SOCIALES,C,2021-2024
1988-8996,REVISTA DE ESTILOS DE APRENDIZAJE,A3,2021-2024
1989-1660,THE INTERNATIONAL JOURNAL OF INTERACTIVE MULTIMEDIA AND ARTIFICIAL INTELLIGENCE - IJIMAI,A1,2021-2024
1989-4155,CUADERNOS DE EDUCACIÓN Y DESARROLLO,C,2021-2024
1989-5488,JOURNAL OF CLINICAL AND EXPERIMENTAL DENTISTRY,A4,2021-2024
1993-4912,INTERFASES,B3,2021-2024
1993-5250,INTERNATIONAL BUSINESS MANAGEMENT,C,2021-2024
1996-1073,ENERGIES (BASEL),A4,2021-2024
1999-4893,ALGORITHMS,C,2021-2024
1999-4907,FORESTS,A2,2021-2024
1999-4915,VIRUSES,A2,2021-2024
1999-4923,PHARMACEUTICS,A2,2021-2024
1999-5431,PUBLIC ADMINISTRATION ISSUE,B2,2021-2024
1999-5903,FUTURE INTERNET,C,2021-2024
2001-0370,COMPUTATIONAL AND STRUCTURAL BIOTECHNOLOGY JOURNAL,A1,2021-2024
2001-1326,CLINICAL AND TRANSLATIONAL MEDICINE,A1,2021-2024
2005-4092,"INTERNATIONAL JOURNAL OF CONTROL, AUTOMATION AND SYSTEMS",A2,2021-2024
2005-5447,INTERNATIONAL JOURNAL OF STEM CELLS,A4,2021-2024
2007-2120,CONTEXTUALIZACIONES LATINOAMERICANAS,A4,2021-2024
2008-9163,INTERNATIONAL JOURNAL OF ENERGY AND ENVIRONMENTAL ENGINEERING,A3,2021-2024
2010-0248,"INTERNATIONAL JOURNAL OF INNOVATION, MANAGEMENT AND TECHNOLOGY",B2,2021-2024
2010-135X,JOURNAL OF ADVANCED DIELECTRICS,A4,2021-2024
2027-0097,CORREO DE BIBLIOTECAS PUBLICAS IBEROAMERICANAS,C,2021-2024
2036-7481,MICROBIOLOGY RESEARCH,B2,2021-2024
2036-9913,INTERNATIONAL REVIEW OF CIVIL ENGINEERING,A2,2021-2024
2040-2244,JOURNAL OF WATER AND CLIMATE CHANGE,A3,2021-2024
2040-2570,INTERNATIONAL JOURNAL FOR DIGITAL SOCIETY,B3,2021-2024
2040-7939,INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN BIOMEDICAL ENGINEERING (PRINT),A2,2021-2024
2040-7947,INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN BIOMEDICAL ENGINEERING (ONLINE),A2,2021-2024
2041-1480,JOURNAL OF BIOMEDICAL SEMANTICS,A4,2021-2024
2041-1723,NATURE COMMUNICATIONS,A1,2021-2024
2041-210X,METHODS IN ECOLOGY AND EVOLUTION,A1,2021-2024
2044-0839,JOURNAL OF AGRIBUSINESS IN DEVELOPING AND EMERGING ECONOMIES,A2,2021-2024
2045-2322,SCIENTIFIC REPORTS,A1,2021-2024
2045-3701,CELL AND BIOSCIENCE,A2,2021-2024
2045-7022,CLINICAL AND TRANSLATIONAL ALLERGY,A2,2021-2024
2045-7634,CANCER MEDICINE,A2,2021-2024
2045-7758,ECOLOGY AND EVOLUTION,A3,2021-2024
2046-1402,F1000RESEARCH,A2,2021-2024
2046-2069,RSC ADVANCES: AN INTERNATIONAL JOURNAL TO FURTHER THE CHEMICAL SCIENCES,A2,2021-2024
2047-217X,GIGASCIENCE (ONLINE),A1,2021-2024
2047-2501,HEALTH INFORMATION SCIENCE AND SYSTEMS,A1,2021-2024
2047-4938,IET BIOMETRICS,A3,2021-2024
2047-7473,JOURNAL OF SOFTWARE: EVOLUTION AND PROCESS,A4,2021-2024
2047-7481,JOURNAL OF SOFTWARE: EVOLUTION AND PROCESS,A4,2021-2024
2047-9700,INTERNATIONAL JOURNAL OF HEALTHCARE MANAGEMENT,A1,2021-2024
2050-1242,NETWORK SCIENCE,A2,2021-2024
2051-1310,JOURNAL OF COMPLEX NETWORKS,A2,2021-2024
2051-1329,JOURNAL OF COMPLEX NETWORKS (ONLINE),A2,2021-2024
2052-0336,LATIN AMERICAN JOURNAL OF MANAGEMENT FOR SUSTAINABLE DEVELOPMENT,B2,2021-2024
2052-0344,LATIN AMERICAN JOURNAL OF MANAGEMENT FOR SUSTAINABLE DEVELOPMENT,B2,2021-2024
2052-1537,MATERIALS CHEMISTRY FRONTIERS,A1,2021-2024
2052-4463,SCIENTIFIC DATA,A1,2021-2024
2053-1583,2D MATERIALS,A1,2021-2024
2053-9517,BIG DATA & SOCIETY,A1,2021-2024
2054-5703,ROYAL SOCIETY OPEN SCIENCE,A1,2021-2024
2054-7404,ARCHIVES OF BUSINESS RESEARCH,B1,2021-2024
2055-0278,NATURE PLANTS,A1,2021-2024
2055-0936,"TROPICAL DISEASES, TRAVEL MEDICINE AND VACCINES",A4,2021-2024
2055-2076,DIGITAL HEALTH,A3,2021-2024
2055-3714,THE IFCOLOG JOURNAL OF LOGICS AND THEIR APPLICATIONS,B1,2021-2024
2056-3485,REMOTE SENSING IN ECOLOGY AND CONSERVATION,A1,2021-2024
2056-6700,OPEN LIBRARY OF HUMANITIES,A2,2021-2024
2056-7189,NPJ SYSTEMS BIOLOGY AND APPLICATIONS,A1,2021-2024
2057-1976,BIOMEDICAL PHYSICS & ENGINEERING EXPRESS,B1,2021-2024
2057-4991,CITIZEN SCIENCE: THEORY AND PRACTICE,A2,2021-2024
2058-9565,QUANTUM SCIENCE AND TECHNOLOGY,A1,2021-2024
2059-7908,BMJ GLOBAL HEALTH,A1,2021-2024
2071-1050,SUSTAINABILITY (BASEL),A3,2021-2024
2072-4292,REMOTE SENSING,A1,2021-2024
2072-6643,NUTRIENTS (BASEL),A1,2021-2024
2072-666X,MICROMACHINES,B1,2021-2024
2072-6694,CANCERS (BASEL) (ONLINE),A2,2021-2024
2073-431X,COMPUTERS,C,2021-2024
2073-4360,POLYMERS,A3,2021-2024
2073-4395,AGRONOMY,A2,2021-2024
2073-4409,CELLS,A2,2021-2024
2073-4425,GENES,A4,2021-2024
2073-4433,ATMOSPHERE,A3,2021-2024
2073-4441,WATER,A4,2021-2024
2073-445X,LAND,C,2021-2024
2073-607X,INTERNATIONAL JOURNAL OF COMMUNICATION NETWORKS AND INFORMATION SECURITY,C,2021-2024
2073-8994,SYMMETRY,A3,2021-2024
2074-9090,INTERNATIONAL JOURNAL OF COMPUTER NETWORK AND INFORMATION SECURITY (PRINT),A2,2021-2024
2075-1680,AXIOMS,C,2021-2024
2075-1702,MACHINES,B2,2021-2024
2075-4418,DIAGNOSTICS,A2,2021-2024
2075-4426,JOURNAL OF PERSONALIZED MEDICINE,A2,2021-2024
2075-4698,SOCIETIES,C,2021-2024
2075-4701,METALS - OPEN ACCESS METALLURGY JOURNAL,A3,2021-2024
2075-5309,BUILDINGS,A4,2021-2024
2075-9479,NEUROPSICOLOGIA LATINOAMERICANA,B3,2021-2024
2076-0930,INTERNATIONAL JOURNAL OF COMMUNICATION NETWORKS AND INFORMATION SECURITY (PRINT),C,2021-2024
2076-2607,MICROORGANISMS,A3,2021-2024
2076-2615,ANIMALS,A1,2021-2024
2076-3263,GEOSCIENCES,A2,2021-2024
2076-3387,ADMINISTRATIVE SCIENCES,C,2021-2024
2076-3417,APPLIED SCIENCES,C,2021-2024
2076-3425,BRAIN SCIENCES,C,2021-2024
2076-393X,VACCINES,A1,2021-2024
2077-0375,MEMBRANES,A4,2021-2024
2077-0383,JOURNAL OF CLINICAL MEDICINE,A2,2021-2024
2077-0472,AGRICULTURE,A2,2021-2024
2077-1312,JOURNAL OF MARINE SCIENCE AND ENGINEERING,C,2021-2024
2078-2489,INFORMATION,C,2021-2024
2079-3197,COMPUTATION,C,2021-2024
2079-4991,NANOMATERIALS,A2,2021-2024
2079-6382,ANTIBIOTICS-BASEL,A1,2021-2024
2079-7737,BIOLOGY,A2,2021-2024
2079-8954,SYSTEMS,C,2021-2024
2079-9292,ELECTRONICS,B1,2021-2024
2081-9943,JOURNAL OF GEODETIC SCIENCE,B1,2021-2024
2084-4840,E-INFORMATICA SOFTWARE ENGINEERING JOURNAL,B2,2021-2024
2088-5334,"INTERNATIONAL JOURNAL ON ADVANCED SCIENCE, ENGINEERING AND INFORMATION TECHNOLOGY",B1,2021-2024
2090-8105,STROKE RESEARCH AND TREATMENT,C,2021-2024
2092-7193,EPIDEMIOLOGY AND HEALTH,A3,2021-2024
2093-369X,HEALTHCARE INFORMATICS RESEARCH,A4,2021-2024
2095-2228,FRONTIERS OF COMPUTER SCIENCE (PRINT),A1,2021-2024
2095-9184,FRONTIERS OF INFORMATION TECHNOLOGY & ELECTRONIC ENGINEERING (IMPRESSO),A3,2021-2024
2146-0957,AN INTERNATIONAL JOURNAL OF OPTIMIZATION AND CONTROL: THEORIES & APPLICATIONS (PRINT),A2,2021-2024
2146-4553,INTERNATIONAL JOURNAL OF ENERGY ECONOMICS AND POLICY,A2,2021-2024
2150-8097,PROCEEDINGS OF THE VLDB ENDOWNMENT,A1,2021-2024
2150-959X,JOURNAL OF COMBINATORICS (ONLINE),B4,2021-2024
2151-0032,TRANSACTIONS OF THE ASABE,A4,2021-2024
2151-4755,CREATIVE EDUCATION,C,2021-2024
2152-2715,"CYBERPSYCHOLOGY, BEHAVIOR AND SOCIAL NETWORKING",A1,2021-2024
2153-0793,DYNAMIC GAMES AND APPLICATIONS (ONLINE),A3,2021-2024
2153-3539,JOURNAL OF PATHOLOGY INFORMATICS,A4,2021-2024
2155-6849,INTERNATIONAL JOURNAL OF GAME-BASED LEARNING.,A3,2021-2024
2155-7950,JOURNAL OF BUSINESS AND ECONOMICS,B2,2021-2024
2156-177X,INTERNATIONAL JOURNAL OF FUZZY SYSTEM APPLICATIONS,B1,2021-2024
2156-3357,IEEE JOURNAL ON EMERGING AND SELECTED TOPICS IN CIRCUITS AND SYSTEMS,A2,2021-2024
2156-3381,IEEE JOURNAL OF PHOTOVOLTAICS,A2,2021-2024
2156-5570,INTERNATIONAL JOURNAL OF ADVANCED COMPUTER SCIENCE AND APPLICATIONS (ONLINE),C,2021-2024
2156-907X,JOURNAL OF APPLIED ANALYSIS AND COMPUTATION,A4,2021-2024
2157-6904,ACM TRANSACTIONS ON INTELLIGENT SYSTEMS AND TECHNOLOGY,A1,2021-2024
2158-2440,SAGE OPEN,A1,2021-2024
2159-4627,BEIJING LAW REVIEW,C,2021-2024
2159-4635,BEIJING LAW REVIEW,C,2021-2024
2160-5912,INTELLIGENT INFORMATION MANAGEMENT,C,2021-2024
2160-6455,ACM TRANSACTIONS ON INTERACTIVE INTELLIGENT SYSTEMS,A2,2021-2024
2161-3915,TRANSACTIONS ON EMERGING TELECOMMUNICATIONS TECHNOLOGIES (ONLINE),A3,2021-2024
2161-5063,ACS SYNTHETIC BIOLOGY,A1,2021-2024
2161-6825,ADVANCES IN INTERNET OF THINGS (ONLINE),C,2021-2024
2161-7635,OPEN JOURNAL OF DISCRETE MATHEMATICS,C,2021-2024
2161-783X,GAMES FOR HEALTH JOURNAL,A1,2021-2024
2161-7856,"GAMES FOR HEALTH: RESEARCH, DEVELOPMENT, AND CLINICAL APPLICATIONS",A1,2021-2024
2162-2256,IEEE CONSUMER ELECTRONICS MAGAZINE,A1,2021-2024
2162-2337,IEEE WIRELESS COMMUNICATIONS LETTERS,A1,2021-2024
2162-2345,IEEE WIRELESS COMMUNICATIONS LETTERS,A1,2021-2024
2162-237X,IEEE TRANSACTIONS ON NEURAL NETWORKS AND LEARNING SYSTEMS,A1,2021-2024
2162-2973,APPLIED NEUROPSYCHOLOGY: CHILD,A4,2021-2024
2164-2591,TRANSLATIONAL VISION SCIENCE AND TECHNOLOGY,A2,2021-2024
2164-5515,HUMAN VACCINES & IMMUNOTHERAPEUTICS,A2,2021-2024
2165-0497,MICROBIOLOGY SPECTRUM,A4,2021-2024
2165-7416,OPEN JOURNAL OF OPHTHALMOLOGY,C,2021-2024
2167-8359,PEERJ,A2,2021-2024
2167-9495,AMERICAN JOURNAL OF CLIMATE CHANGE,C,2021-2024
2168-1171,COMPUTER METHODS IN BIOMECHANICS AND BIOMEDICAL ENGINEERING. IMAGING & VISUALIZATION (ONLINE),A4,2021-2024
2168-2208,IEEE JOURNAL OF BIOMEDICAL AND HEALTH INFORMATICS,A1,2021-2024
2168-2216,"IEEE TRANSACTIONS ON SYSTEMS, MAN, AND CYBERNETICS: SYSTEMS",A1,2021-2024
2168-2267,IEEE TRANSACTIONS ON CYBERNETICS,A1,2021-2024
2168-2291,IEEE TRANSACTIONS ON HUMAN-MACHINE SYSTEMS,A2,2021-2024
2168-2364,IEEE DESIGN & TEST,B1,2021-2024
2168-2372,IEEE JOURNAL OF TRANSLATIONAL ENGINEERING IN HEALTH AND MEDICINE,A3,2021-2024
2168-6750,IEEE TRANSACTIONS ON EMERGING TOPICS IN COMPUTING,A1,2021-2024
2168-6777,IEEE JOURNAL OF EMERGING AND SELECTED TOPICS IN POWER ELECTRONICS,A1,2021-2024
2168-6831,IEEE GEOSCIENCE AND REMOTE SENSING MAGAZINE,A1,2021-2024
2168-7161,IEEE TRANSACTIONS ON CLOUD COMPUTING,A1,2021-2024
2168-8184,CUREUS,B1,2021-2024
2169-3277,PRODUCTION & MANUFACTURING RESEARCH,A3,2021-2024
2169-3536,IEEE ACCESS,A3,2021-2024
2174-4289,"HISTORIOGRAFIAS, REVISTA DE HISTORIA Y TEORÍA",A4,2021-2024
2175-053X,REVISTA BRASILEIRA DE ESTUDOS DE SEGURANÇA PÚBLICA,B3,2021-2024
2175-2095,JORNAL BRASILEIRO DE ECONOMIA DA SAÚDE,B3,2021-2024
2175-2745,REVISTA DE INFORMÁTICA TEÓRICA E APLICADA: RITA,B4,2021-2024
2175-3369,URBE. REVISTA BRASILEIRA DE GESTÃO URBANA,A1,2021-2024
2175-3539,REVISTA PSICOLOGIA ESCOLAR E EDCUACIONAL,A1,2021-2024
2175-3598,JOURNAL OF HUMAN GROWTH AND DEVELOPMENT,B1,2021-2024
2175-3687,DIÁLOGO E INTERAÇÃO,B2,2021-2024
2175-4411,JOURNAL OF HEALTH INFORMATICS,A4,2021-2024
2175-4977,ANIMUS: REVISTA INTERAMERICANA DE COMUNICAÇÃO MIDIÁTICA,A4,2021-2024
2175-5361,REVISTA DE PESQUISA: CUIDADO E FUNDAMENTAL (ONLINE),A4,2021-2024
2175-6600,DEBATES EM EDUCAÇÃO,A3,2021-2024
2175-6783,REV RENE (ONLINE),A4,2021-2024
2175-7275,REVISTA CEREUS,A3,2021-2024
2175-7402,ALCEU (ONLINE),A3,2021-2024
2175-795X,PERSPECTIVA,A1,2021-2024
2175-8069,REVISTA CONTEMPORÂNEA DE CONTABILIDADE,A3,2021-2024
2175-8077,REVISTA DE CIÊNCIAS DA ADMINISTRAÇÃO,A4,2021-2024
2175-8239,JORNAL BRASILEIRO DE NEFROLOGIA,A3,2021-2024
2175-9146,JOURNAL OF AEROSPACE TECHNOLOGY AND MANAGEMENT (ONLINE),B1,2021-2024
2176-0144,REVISTA CONEXÕES - CIÊNCIA E TECNOLOGIA,A2,2021-2024
2176-0756,REVISTA IBERO AMERICANA DE ESTRATÉGIA,A4,2021-2024
2176-1523,"TECNOLOGIA EM METALURGIA, MATERIAIS E MINERAÇÃO",B1,2021-2024
2176-171X,REVISTA EDAPECI: EDUCAÇÃO A DISTÂNCIA E PRÁTICAS EDUCATIVAS COMUNICACIONAIS E INTERCULTURAIS,A3,2021-2024
2176-2988,BOLETIM GEPEM (ONLINE),A2,2021-2024
2176-4565,REVISTA CIATEC-UPF,B4,2021-2024
2176-4603,VIDYA (SANTA MARIA. ONLINE),A2,2021-2024
2176-4794,ESTUDOS LINGUÍSTICOS E LITERÁRIOS (UFBA),A3,2021-2024
2176-5111,CAMBIASSU: ESTUDOS EM COMUNICAÇÃO (ONLINE),A4,2021-2024
2176-5308,GESTÃO & REGIONALIDADE (ONLINE),A4,2021-2024
2176-5634,JORNAL INTERNACIONAL DE ESTUDOS EM EDUCAÇÃO MATEMÁTICA,A3,2021-2024
2176-6649,REVISTA BRASILEIRA DE COMPUTAÇÃO APLICADA,B4,2021-2024
2176-7114,REVISTA CONTEXTO & SAÚDE (ONLINE),A4,2021-2024
2176-7270,REVISTA DE ENGENHARIA E TECNOLOGIA,B2,2021-2024
2176-9036,REVISTA AMBIENTE CONTÁBIL,B1,2021-2024
2176-9109,DESENVOLVIMENTO E MEIO AMBIENTE,A3,2021-2024
2176-9133,COGITARE ENFERMAGEM,A4,2021-2024
2176-9168,REVISTA EM AGRONEGÓCIOS E MEIO AMBIENTE,B4,2021-2024
2176-9745,REVISTA BRASILEIRA DE CANCEROLOGIA,B1,2021-2024
2177-1472,REVISTA JURÍDICA DA UNIVERSIDADE DE RIO VERDE - UNIRV,B2,2021-2024
2177-2789,LUMEN ET VIRTUS,B2,2021-2024
2177-2894,REVISTA THEMA,A2,2021-2024
2177-4285,ENFERMAGEM EM FOCO,A4,2021-2024
2177-6652,REVISTA GESTÃO & TECNOLOGIA,A4,2021-2024
2177-7691,INTERFACES DA EDUCAÇÃO,A2,2021-2024
2177-7853,Vittalle (online),B3,2021-2024
2177-8310,EAD EM FOCO - REVISTA DE EDUCAÇÃO A DISTÂNCIA,A1,2021-2024
2177-8736,REGE REVISTA DE GESTAO,A2,2021-2024
2177-9309,EM TEIA - REVISTA DE EDUCAÇÃO MATEMÁTICA E TECNOLÓGICA IBEROAMERICANA,A4,2021-2024
2177-9465,ESCOLA ANNA NERY. REVISTA DE ENFERMAGEM,A4,2021-2024
2178-0013,REVISTA BRASILEIRA DE CIENCIAS POLICIAIS,A2,2021-2024
2178-0587,ECONOMIC ANALYSIS OF LAW REVIEW,A2,2021-2024
2178-2075,INCID: REVISTA DE DOCUMENTAÇÃO E CIÊNCIA DA INFORMAÇÃO,A3,2021-2024
2178-2091,REVISTA ELETRÔNICA ACERVO SAÚDE,A4,2021-2024
2178-7085,SAÚDE & TRANSFORMAÇÃO SOCIAL / HEALTH & SOCIAL CHANGE,B4,2021-2024
2178-7107,JOURNAL OF INFORMATION AND DATA MANAGEMENT - JIDM,A4,2021-2024
2178-8030,GESTAO E PLANEJAMENTO,A4,2021-2024
2178-8332,COLLOQUIUM EXACTARUM,B2,2021-2024
2178-9010,REVISTA DE GESTÃO E SECRETARIADO,C,2021-2024
2178-9061,ROSA DOS VENTOS,A4,2021-2024
2179-0981,REVISTA DE DIVULGAÇÃO CIENTÍFICA SENA AIRES,B1,2021-2024
2179-1074,"JOURNAL OF MICROWAVES, OPTOELECTRONICS AND ELECTROMAGNETIC APPLICATIONS",A4,2021-2024
2179-1309,CONTEXTO & EDUCAÇÃO,A1,2021-2024
2179-135X,REVISTA BRASILEIRA DE CASOS DE ENSINO EM ADMINISTRAÇÃO,B3,2021-2024
2179-1465,REVISTA GEMINIS,A3,2021-2024
2179-2895,REVISTA DE INOVAÇÃO TECNOLÓGICA,B3,2021-2024
2179-3425,BRAZILIAN JOURNAL OF ANALYTICAL CHEMISTRY (PRINT),B1,2021-2024
